time,open,high,low,close,vsXa,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),volumeStrength,volumeStrengthMa,priceStrength,priceStrengthMa,priceVolumeStrength,priceVolumeStrengthMa
2025-08-14T03:36:00-05:00,4735.17,4736.23,4729.69,4730.15,0,4735.17,4736.23,4729.69,4730.15,35.08933436905189,43.760560126674704,-15.118880805325901,-12.17298922406617,-35.4810456476849,-25.42487649342434
2025-08-14T03:38:00-05:00,4729.7,4731.93,4727.23,4727.42,0,4729.7,4731.93,4727.23,4727.42,28.791762267864033,30.906375331143032,-17.75534303922904,-17.524583890550925,-43.81272656261959,-41.68060763592791
2025-08-14T03:40:00-05:00,4727.53,4731.78,4725.2,4726.82,0,4727.53,4731.78,4725.2,4726.82,30.31978027206587,25.85915495385064,-17.102851568530912,-19.54558793524982,-39.77115458869371,-46.45521370479654
2025-08-14T03:42:00-05:00,4726.81,4728.87,4723.45,4724.55,2,4726.81,4728.87,4723.45,4724.55,28.868837864489326,22.7066677560452,-19.57859721588965,-22.12101163296017,-44.31616401428101,-51.60709840426621
2025-08-14T03:44:00-05:00,4724.76,4729.27,4723.99,4727.07,1,4724.76,4729.27,4723.99,4727.07,40.22092391492798,30.074367688404543,-18.25257797058547,-22.069796713707866,-33.35382958055788,-45.28133630835581
2025-08-14T03:46:00-05:00,4727,4734.26,4726.8,4729.08,1,4727,4734.26,4726.8,4729.08,51.27656001417104,42.29661748720731,-16.260893586095683,-20.239260534092647,-22.7986863480088,-33.70946083225424
2025-08-14T03:48:00-05:00,4729.58,4730.57,4724.62,4726.97,0,4729.58,4730.57,4724.62,4726.97,51.20074098210661,48.609187877633744,-18.635146391091602,-20.748520116184395,-24.534406663783134,-28.692684924691136
2025-08-14T03:50:00-05:00,4727.01,4728.57,4723.95,4724.16,0,4727.01,4728.57,4723.95,4724.16,46.14405553960986,48.24628995549991,-21.39814798457487,-22.68728731291707,-29.53718997941066,-29.402116143558704
2025-08-14T03:52:00-05:00,4723.97,4727.42,4723.36,4725.51,0,4723.97,4727.42,4723.36,4725.51,47.707093539996734,49.28153206129164,-19.83122901381288,-22.19384133698512,-24.436874259546173,-25.727691589306417
2025-08-14T03:54:00-05:00,4725.5,4727.28,4723.05,4723.31,0,4725.5,4727.28,4723.05,4723.31,45.67154188870862,48.17509495230909,-20.75052435443093,-22.396187969264442,-25.422487743605625,-24.61715830421321
2025-08-14T03:56:00-05:00,4723.3,4727.85,4722.43,4727.85,0,4723.3,4727.85,4722.43,4727.85,57.11790217345415,55.83223717454883,-16.818292464982083,-19.406850343740558,-11.202619761294455,-13.731929944051098
2025-08-14T03:58:00-05:00,4727.62,4728.36,4725.84,4727.85,0,4727.62,4728.36,4725.84,4727.85,61.77771826885923,62.63897042371271,-15.442626402037982,-16.816382654941453,-6.054215005880221,-4.968339832561217
2025-08-14T04:00:00-05:00,4728.07,4728.44,4722.63,4722.63,0,4728.07,4728.44,4722.63,4722.63,45.49238800838184,53.703960906825465,-19.680681651731724,-18.568811323354232,-23.15268452044388,-13.583307466871194
2025-08-14T04:02:00-05:00,4722.96,4727.81,4722.48,4722.9,0,4722.96,4727.81,4722.48,4722.9,42.84442729070754,47.20599213349719,-20.907212221330063,-20.24606344829154,-25.82926215277816,-20.03789190726727
2025-08-14T04:04:00-05:00,4722.87,4738,4721.16,4734.68,0,4722.87,4738,4721.16,4734.68,68.75213406487794,62.71242750115468,-10.836006342081989,-13.683756457022557,4.815133436529178,-1.1842449924259206
2025-08-14T04:06:00-05:00,4734.54,4744.22,4733.95,4739.75,0,4734.54,4744.22,4733.95,4739.75,77.72546577601278,76.35900114804866,-1.1273901707637322,-3.5076773194598054,20.54512577376737,18.823676838625847
2025-08-14T04:08:00-05:00,4740.02,4740.13,4733.4,4737.04,0,4740.02,4740.13,4733.4,4737.04,74.39465811359693,80.1249141049,-5.022143256627238,-1.6163868153624772,12.967758796742913,22.308548666757343
2025-08-14T04:10:00-05:00,4737.04,4737.59,4733.42,4736.97,0,4737.04,4737.59,4733.42,4736.97,69.25912279446472,77.6859449336287,-5.246741202297329,-1.1083161938266266,10.117748456539537,21.150693414555967
2025-08-14T04:12:00-05:00,4736.96,4739.29,4735.27,4738.3,1,4736.96,4739.29,4735.27,4738.3,69.21444052807308,75.84884169813131,-3.3694739996398653,0.13722164909577805,14.100932204464272,22.541542591847932
2025-08-14T04:14:00-05:00,4738.3,4744.83,4738.3,4743.4,0,4738.3,4744.83,4738.3,4743.4,74.81887178611731,78.39171760745775,5.058435421758038,6.461464046309396,22.481224868193966,28.305138871909957
2025-08-14T04:16:00-05:00,4743.06,4743.06,4735.38,4735.38,0,4743.06,4743.06,4735.38,4735.38,58.439822876883966,67.03919689217147,-5.902462056466728,1.0216646692779507,0.4141534988072024,13.97665781776638
2025-08-14T04:18:00-05:00,4735.37,4741.98,4735.36,4741.57,0,4735.37,4741.98,4735.36,4741.57,57.96674737155748,60.85419866277734,1.8523548261137037,3.6817140827503056,6.11458397389413,10.529611429242152
2025-08-14T04:20:00-05:00,4741.58,4741.94,4737.68,4738.45,0,4741.58,4741.94,4737.68,4738.45,41.06986891980672,45.29183426225926,-2.3193514623920066,1.4747675966866227,-10.348646143009995,-3.7755326558329863
2025-08-14T04:22:00-05:00,4738.35,4743.66,4738.35,4743.65,0,4738.35,4743.66,4738.35,4743.65,43.893114153670396,39.97622484510349,3.68936066219284,4.477453784077823,-5.230822345024933,-7.135368580468537
2025-08-14T04:24:00-05:00,4743.66,4744.3,4739.92,4743.99,0,4743.66,4744.3,4739.92,4743.99,48.1708353793729,40.85119969252708,4.183563722330927,5.961348546744959,-3.54005032321198,-7.529947179356514
2025-08-14T04:26:00-05:00,4744.04,4750.55,4744,4750.2,0,4744.04,4750.55,4744,4750.2,66.4596978850266,55.13332315079341,14.87875883692937,14.211058816661776,15.587385821111221,6.470278536855362
2025-08-14T04:28:00-05:00,4750.2,4754.56,4747.4,4747.41,0,4750.2,4754.56,4747.4,4747.41,60.15536893974809,57.854352794045596,10.565151810268548,14.68141030506594,6.398623206508159,6.683006302937957
2025-08-14T04:30:00-05:00,4747.4,4752.04,4745.82,4752.04,1,4747.4,4752.04,4745.82,4752.04,69.73682928954875,66.56695129882048,17.21694325109214,19.427329953745225,17.017342673627233,14.752917221657928
2025-08-14T04:32:00-05:00,4751.6,4752.74,4750.38,4752.17,0,4751.6,4752.74,4750.38,4752.17,70.5922612910561,71.47437845948231,18.403393592627438,22.123033255956805,17.06536079028316,18.615735976505434
2025-08-14T04:34:00-05:00,4752.16,4755.84,4751.39,4755.83,0,4752.16,4755.84,4751.39,4755.83,76.61047416606996,78.13111247186565,23.688129263876576,26.801530914041642,23.991488635240344,25.358670125650036
2025-08-14T04:36:00-05:00,4755.84,4765.45,4755.84,4756.4,3,4755.84,4765.45,4755.84,4756.4,66.22212362754485,73.42844256557038,26.130948488360776,30.293735382432278,24.077400235937876,28.303746335136495
2025-08-14T04:38:00-05:00,4756.51,4756.7,4744.58,4745.92,0,4756.51,4756.7,4744.58,4745.92,53.39126449311201,61.446644638645594,7.752297116357035,17.99454560626928,5.157062222345589,15.460807958275872
2025-08-14T04:40:00-05:00,4745.1,4750.03,4743.41,4747.94,0,4745.1,4750.03,4743.41,4747.94,49.98626015797815,52.899299129759015,7.098420038009593,11.182040766443198,3.369588797718906,7.615724219343035
2025-08-14T04:42:00-05:00,4747.68,4749.78,4746.26,4748.15,0,4747.68,4749.78,4746.26,4748.15,51.057226575389834,49.4204008184351,6.036996751969223,6.786977650642615,3.3399565980370682,3.520236434046592
2025-08-14T04:44:00-05:00,4748.19,4753.55,4748.11,4753.14,0,4748.19,4753.55,4748.11,4753.14,59.35493668362509,53.87257669918732,13.688359237725804,10.143243588476393,16.907782519380614,11.369359708654075
2025-08-14T04:46:00-05:00,4753.14,4758.71,4753,4757.55,0,4753.14,4758.71,4753,4757.55,69.92334213994016,63.912852672732896,22.680626580085825,18.33133201286941,33.95488839030349,27.57959015409572
2025-08-14T04:48:00-05:00,4757.56,4759.01,4753.61,4756.08,0,4757.56,4759.01,4753.61,4756.08,62.81529445360843,63.718345208663514,21.037671752542664,21.105836979929013,26.865525100359037,30.12718498918179
2025-08-14T04:50:00-05:00,4756.08,4762.22,4756.08,4761.8,0,4756.08,4762.22,4756.08,4761.8,64.56211219109252,65.0359460804683,32.25602932073394,30.63354962438519,35.16790046456137,37.26656689822681
2025-08-14T04:52:00-05:00,4761.8,4763.08,4759.71,4762.08,0,4761.8,4763.08,4759.71,4762.08,64.32813675312927,65.47231647684858,32.13004540099969,34.91899437094042,33.086211907312155,38.751470569504825
2025-08-14T04:54:00-05:00,4761.78,4763.63,4759.09,4760.36,0,4761.78,4763.63,4759.09,4760.36,54.40729477730615,58.35671647440704,27.51373973140411,33.301457634727996,20.380972419123392,29.675241143171455
2025-08-14T04:56:00-05:00,4759.81,4763.71,4759.06,4762.05,0,4759.81,4763.71,4759.06,4762.05,55.786560505762395,55.90908909666365,28.565457844607863,32.89022027723045,21.828652768367892,25.886151029703292
2025-08-14T04:58:00-05:00,4761.99,4763.05,4761.01,4761.01,0,4761.99,4763.05,4761.01,4761.01,52.27133214942134,52.148760899101056,26.646983302717597,30.83594036458232,15.900080714198873,19.299563492419818
2025-08-14T05:00:00-05:00,4761.02,4762.82,4758.49,4762.46,0,4761.02,4762.82,4758.49,4762.46,54.62936968673487,52.169686138667146,28.31456369654483,30.66926553595437,17.955309744576656,17.421255876146123
2025-08-14T05:02:00-05:00,4762.13,4762.13,4755.04,4756.53,0,4762.13,4762.13,4755.04,4756.53,31.05470546679515,35.14086257878766,17.142077206844313,22.099848301673145,-10.383106355912831,-4.22025004669678
2025-08-14T05:04:00-05:00,4756.53,4758.42,4753.16,4756.83,0,4756.53,4758.42,4753.16,4756.83,33.75762399155036,29.343352410213853,15.100040632827373,16.333244577955956,-7.956025963717205,-12.520863032613466
2025-08-14T05:06:00-05:00,4757.09,4769,4757.09,4767.61,0,4757.09,4769,4757.09,4767.61,51.87734709857462,40.245990546714665,34.76543703962842,27.86941621829081,25.484979418480965,8.368067774852232
2025-08-14T05:08:00-05:00,4767.22,4767.22,4759.44,4759.44,0,4767.22,4767.22,4759.44,4759.44,42.07534838953232,38.83332387089104,19.660739742417313,22.34585860883441,4.2314325236471335,3.375325496783895
2025-08-14T05:10:00-05:00,4759.39,4759.65,4752.17,4753.22,0,4759.39,4759.65,4752.17,4753.22,26.907135675269757,27.69120096015215,8.65005952753826,11.800515015441313,-13.983268831306013,-11.627575298862933
2025-08-14T05:12:00-05:00,4753.23,4756.41,4748.21,4748.22,0,4753.23,4756.41,4748.21,4748.22,18.923677040530762,17.09479114122336,3.10202624970853,2.850146460658644,-19.716627240552228,-22.41150551340039
2025-08-14T05:14:00-05:00,4748.1,4752.32,4746.43,4752.01,0,4748.1,4752.32,4746.43,4752.01,27.57523865434908,18.92585766875272,6.835985998683977,1.5557620105547965,-9.905487644414542,-19.796026988481174
2025-08-14T05:16:00-05:00,4752.01,4756.63,4752.01,4755.77,0,4752.01,4756.63,4752.01,4755.77,40.42600814177736,29.813265853881774,12.595559023746368,5.542194674225759,2.7425436334148734,-8.616026949450506
